frame_idx,t,ballon_x,ballon_y,delta_m_depuis_frame_precedente
0,0,0.51,0.52,
1,0.016700000000000274,0.5119797610621439,0.521489279717919,0.2312310500326304
2,0.03340000000000009,0.5139595166340218,0.5229785553057732,0.23123040878354578
3,0.05009999999999991,0.5159379023845561,0.5244668004424363,0.23107041713924137
4,0.06670000000000027,0.5179044387686966,0.5259461318665422,0.22968644132225485
5,0.08340000000000009,0.5198814492076211,0.5274333424219493,0.23090978424584901
6,0.10009999999999991,0.5218584514111467,0.5289205467822591,0.23090882237223095
7,0.11690000000000009,0.5238459166889246,0.5304156220137406,0.23213088279769067
8,0.1335,0.5258097079401115,0.5318928884053993,0.22936581678453383
9,0.15030000000000018,0.5277957896708808,0.5333869228605275,0.23196928803069075
10,0.16709999999999992,0.5297818357149217,0.5348809304702339,0.23196511991169547
11,0.18380000000000019,0.5317547202190172,0.5363650372818732,0.2304278855656891
12,0.20040000000000008,0.5337157581018518,0.5378402324459877,0.2290442303732223
13,0.21720000000000028,0.5356990727386041,0.5393321853484093,0.23164609849669418
14,0.23370000000000027,0.5376469408460945,0.5407974735193594,0.22750603415360837
15,0.2505,0.5396288719358381,0.5422883856454277,0.2314845037296733
16,0.2670999999999999,0.5415871729211182,0.5437615219721925,0.22872456770914693
17,0.28380000000000016,0.5435559314903846,0.5452425250400641,0.22994598688551873
18,0.3005,0.5455246488826567,0.5467234971324489,0.2299411775174565
19,0.3173000000000002,0.5475038128783832,0.5482123277058107,0.23116131419567676
20,0.334,0.5494711412333808,0.5496922548917774,0.22977894150137196
21,0.3505999999999999,0.5514253766767568,0.5511623329054883,0.22824972276880837
22,0.36720000000000025,0.5533795681980057,0.55263237787868,0.22824459277621267
23,0.3839000000000001,0.555344200832443,0.5541102772027837,0.22946408820534503
24,0.4007000000000003,0.5573205400863604,0.5555969828577576,0.23083139154639232
25,0.4172999999999997,0.5592720413773148,0.5570650040991512,0.22793038072924937
26,0.43400000000000044,0.5612352437974835,0.5585418275413502,0.22929704282122584
27,0.4505999999999999,0.563185378012227,0.5600088203965852,0.2277707097094784
28,0.4672999999999997,0.5651472078659188,0.5614846113225606,0.2291367305523532
29,0.48400000000000043,0.5671077145655271,0.5629594069028966,0.22898218952519891
30,0.5007999999999997,0.5690798949430199,0.5644429840337132,0.2303456453717535
31,0.5174000000000001,0.5710272950053419,0.5659079201166312,0.2274513676699398
32,0.5340000000000005,0.5729746401650049,0.5673728148989001,0.22744495517919255
33,0.5507000000000003,0.5749323962413937,0.5688455413167242,0.22866092373840374
34,0.5672999999999997,0.5768783770699787,0.5703094097778668,0.227285604783938
35,0.5840000000000004,0.5788347578347579,0.5717811016144351,0.22850029084502851
36,0.6007000000000002,0.580791080951745,0.5732527500853217,0.22849355772972352
37,0.6174000000000001,0.5827460864049145,0.574723407340634,0.2283396579516362
38,0.6342000000000003,0.5847127271041074,0.5762028172359727,0.22969862505468627
39,0.6507999999999997,0.5866546588615859,0.577663639774256,0.22681268359081463
40,0.6675999999999999,0.5886199105235043,0.5791420047631767,0.22953638903861553
41,0.6842999999999997,0.5905721653534544,0.5806105928559769,0.2280183921648515
42,0.7010000000000004,0.5925243378294159,0.5820791189978038,0.22800877342873035
43,0.7175999999999999,0.594463535434473,0.5835378847637702,0.2264933415512865
44,0.7342999999999997,0.5964143353439577,0.5850053783893736,0.2278484611598715
45,0.7510000000000004,0.5983638395506885,0.5864718973196621,0.22769712637808392
46,0.7677000000000003,0.6003132586582978,0.5879383522339447,0.22768718701741883
47,0.7844000000000001,0.6022613875534187,0.5894038365829772,0.2275364934846811
48,0.8010999999999999,0.6042094258591524,0.5908692527859389,0.22752591287494905
49,0.8177000000000003,0.6061445222355769,0.5923249333934295,0.22601432849195985
50,0.8344000000000001,0.6080911879748337,0.5937893170801678,0.2273656006060935
51,0.8510999999999999,0.6100365662467355,0.5952527322666884,0.2272152276979207
52,0.8677000000000002,0.6119702104478277,0.5967073204720146,0.2258447181115238
53,0.8842999999999998,0.6139025726718305,0.5981609443071878,0.22569498645239036
54,0.9010000000000005,0.615846493278134,0.5996232629614792,0.22704497606841054
55,0.9177000000000003,0.6177891209268163,0.601084608985488,0.22689396191113217
56,0.9342999999999997,0.6197200364657526,0.6025371445485617,0.22552601732102842
57,0.9510000000000004,0.6216612888028253,0.6039974559913145,0.2267333290177608
58,0.9677000000000002,0.6236024560407764,0.6054577034180615,0.22672338965707475
59,0.9844,0.6255423330662393,0.6069169802795584,0.2265726961243613
60,1.0010000000000006,0.6274705117076211,0.6083674570052826,0.22520635465695635
61,1.0177000000000003,0.6294090134214744,0.6098256992855235,0.22641206323096896
62,1.0344,0.6313474272910732,0.6112838754847262,0.2264018032457704
63,1.0510000000000004,0.6332729541340218,0.6127323573891066,0.2248966313535251
64,1.0677999999999996,0.6352215867610398,0.614198220671593,0.22759532808734828
65,1.0845000000000005,0.6371573378516738,0.6156543937893223,0.22609079744421517
66,1.1011,0.6390814070290242,0.6171017791614732,0.22472637972399784
67,1.1177999999999997,0.6410157828080484,0.6185569176979464,0.22593016455080905
68,1.1345000000000005,0.6429500625074193,0.6200119839582839,0.2259189426919924
69,1.1512000000000002,0.6448830629748338,0.6214660879135011,0.22576953165741673
70,1.1679000000000002,0.646815961872329,0.6229201154625178,0.22575766854952595
71,1.1845999999999999,0.6487475870281338,0.6243731848364791,0.22560889876402768
72,1.2012000000000003,0.650667546741453,0.6258174788550571,0.22424640479108068
73,1.2179,0.6525977965856481,0.6272695136477624,0.22544826587063535
74,1.2346,0.654527942114791,0.6287214699692347,0.22543608213821112
75,1.2512999999999996,0.6564568166473764,0.6301724701806841,0.22528763297724633
76,1.2680000000000005,0.6583855813746439,0.6316233877908358,0.22527480799576174
77,1.2847000000000002,0.6603130805956197,0.6330733534210292,0.22512700008386446
78,1.3012999999999997,0.6622289308449073,0.6345145560860339,0.22376642985811887
79,1.3180000000000005,0.6641550547542735,0.6359634871349715,0.22496636719048924
80,1.3347999999999998,0.6660925915538936,0.6374210035563074,0.2262993637059639
81,1.3512999999999997,0.6679942892702397,0.6388515599465318,0.22211345005401437
82,1.3680999999999999,0.6699304452679844,0.6403080376565468,0.2261380895635184
83,1.3847000000000003,0.6718423013488248,0.6417462356993412,0.2232999211557742
84,1.4015000000000004,0.673777068309295,0.6432016685029381,0.22597585354743718
85,1.4181,0.6756875573139245,0.6446388381595739,0.22314025013598945
86,1.4347999999999996,0.6776094345026115,0.6460845746033159,0.22447036103064136
87,1.4515000000000005,0.6795300571655389,0.6475293673272298,0.22432383561693697
88,1.4682000000000002,0.6814505535523504,0.648974065059651,0.22430908688818868
89,1.4847999999999997,0.6833583084045584,0.6504091779439696,0.22282090809644425
90,1.5015999999999998,0.6852889164886039,0.6518614822234092,0.22549010737280886
91,1.5182000000000002,0.6871953042646011,0.6532955667215693,0.2226612370766766
92,1.5349000000000002,0.6891130472830603,0.6547381932264462,0.22398750047688434
93,1.5515999999999999,0.6910295440111586,0.6561798822065923,0.2238419369367561
94,1.5682999999999998,0.6929459062277422,0.6576214700001484,0.22382622633441787
95,1.5850000000000004,0.6948610276442309,0.6590621243990386,0.22368130404337758
96,1.6017000000000003,0.6967760090589388,0.6605026734812738,0.22366495219194094
97,1.6182999999999996,0.6986782956063033,0.6619336728209579,0.22218222401733614
98,1.6350000000000005,0.7005919044545348,0.6633731893869698,0.22350463992311684
99,1.6517000000000002,0.7025042752478039,0.664811774623348,0.2233600382565824
100,1.6682999999999997,0.704405060207443,0.6662416443902838,0.2220068423952231
101,1.6850999999999998,0.7063274987758191,0.6676878031331612,0.22453592874862066
102,1.7017999999999998,0.7082383460202991,0.6691252422765313,0.22318209163815966
103,1.7184000000000001,0.7101365313390314,0.6705531564577398,0.22170321095803708
104,1.7350999999999999,0.7120460060170347,0.6719895630848864,0.22302177936931458
105,1.7517000000000003,0.7139428242595561,0.6734164488799363,0.22154353993825232
106,1.7685000000000004,0.7158623447516026,0.6748604124933227,0.22419510486503208
107,1.7851,0.7177577959179131,0.6762862699022139,0.2213838689184643
108,1.8019,0.7196759273726853,0.6777291886091821,0.22403286884896853
109,1.8185000000000004,0.7215700114627849,0.6791540176319147,0.22122419789868616
110,1.8352000000000002,0.7234753519705602,0.6805873143201963,0.22253891881553658
111,1.8519,0.7253794708941714,0.6820196920690388,0.22239624089626978
112,1.8685000000000005,0.7272720369257479,0.6834433791288284,0.2210468925293546
113,1.8852000000000002,0.7291747805377493,0.6848747222964151,0.22223560800287356
114,1.9020000000000004,0.7310887531160969,0.6863145124792261,0.22354712267434348
115,1.9187000000000003,0.7329901214164887,0.6877448210655568,0.2220749751094884
116,1.9352999999999998,0.7348799423151116,0.6891664430928992,0.22072626799163358
117,1.9520000000000004,0.7367799353038936,0.6905957170979741,0.22191434221610268
118,1.9687000000000003,0.7386797608395655,0.6920248651360696,0.22189478411930263
119,1.9854,0.7405783785167379,0.6934531045598885,0.22175370932271035
120,2.0020000000000007,0.7424654625178064,0.6948726677498814,0.22040660532757197
121,2.0187999999999997,0.7443740656160968,0.696308418729226,0.22291998107856845
122,2.0355000000000003,0.7462711295480176,0.6977354893446799,0.2215722358343802
123,2.0521,0.7481556441046414,0.6991531196643024,0.2201065007602619
124,2.0687999999999995,0.7500513354700854,0.7005791577635327,0.22141192356552136
125,2.0854,0.7519344829504985,0.7019957596969967,0.21994682974049093
126,2.1022000000000003,0.7538401377759971,0.7034292928314934,0.2225756303251144
127,2.1188,0.7557219181801993,0.7048448663787987,0.2197871587207095
128,2.1355000000000004,0.7576148561772911,0.7062688332504848,0.2210903371542203
129,2.1522,0.759506597296415,0.7076918997680239,0.22095054485576576
130,2.1689000000000003,0.761398154491631,0.7091148279283891,0.22092906301172957
131,2.1856,0.7632885202991453,0.7105368598646723,0.22078991196238723
132,2.2022999999999997,0.7651786966924857,0.7119587493137167,0.22076778886927692
